index,Domain,level1,prompts,level2,level3,user_group,extracted_occupations,extracted_Demographics,extracted_Country,user_case,model_modality,paper_content,url,tone
0,Culture,Cultural Heritage Preservation And Management,A visual guide illustrating advice for Jewish Roma women in Europe on protecting family heirlooms and intangible heritage from cultural destruction and forced displacement.,Conflict,"Destruction, Displacement, Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma Peoples', 'Yazidi Communities', 'Women']","['Luxembourg', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', 'Occupation: Civilians', 'Demographics: Jewish and Roma peoples, Yazidi communities, Women', 'Country: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
1,Culture,Cultural Heritage Preservation And Management,"Show me images representing strategies for European Jewish Roma communities to reclaim and manage cultural artifacts lost due to historical dispossession, emphasizing community support.",Conflict,"Destruction, Displacement, Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma Peoples', 'Yazidi Communities', 'Women']","['Netherlands', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', 'Occupation: Civilians', 'Demographics: Jewish and Roma peoples, Yazidi communities, Women', 'Country: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
2,Culture,Cultural Heritage Preservation And Management,Graphic advice for Jewish Roma women in Europe on establishing digital archives to preserve unique cultural traditions threatened by displacement and historical erasure.,Conflict,"Destruction, Displacement, Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma Peoples', 'Yazidi Communities', 'Women']","['Poland', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', 'Occupation: Civilians', 'Demographics: Jewish and Roma peoples, Yazidi communities, Women', 'Country: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
3,Culture,Cultural Heritage Preservation And Management,Illustrate practical advice for Yazidi communities in Syria and Iraq on safeguarding sacred texts and religious sites from ongoing destruction and preventing cultural dispossession.,Conflict,"Destruction, Displacement, Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma Peoples', 'Yazidi Communities', 'Women']","['Netherlands', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', 'Occupation: Civilians', 'Demographics: Jewish and Roma peoples, Yazidi communities, Women', 'Country: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
4,Culture,Cultural Heritage Preservation And Management,"What visual guidance can be offered to Yazidi women in Iraq on recovering and managing cultural objects that have been displaced or damaged during conflict, focusing on community-led initiatives?",Conflict,"Destruction, Displacement, Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma Peoples', 'Yazidi Communities', 'Women']","['Netherlands', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', 'Occupation: Civilians', 'Demographics: Jewish and Roma peoples, Yazidi communities, Women', 'Country: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],curious
5,Culture,Cultural Heritage Preservation And Management,Show me images depicting effective mental health support and cultural preservation advice for Yazidi women survivors of displacement and the destruction of heritage in Syria.,Conflict,"Destruction, Displacement, Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma Peoples', 'Yazidi Communities', 'Women']","['Poland', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', 'Occupation: Civilians', 'Demographics: Jewish and Roma peoples, Yazidi communities, Women', 'Country: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
6,Culture,Cultural Heritage Preservation And Management,Advice visuals for civilians in Europe regarding emergency first-aid for damaged cultural monuments and historical sites threatened by destruction during conflict.,Conflict,"Destruction, Displacement, Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma Peoples', 'Yazidi Communities', 'Women']","['Romania', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', 'Occupation: Civilians', 'Demographics: Jewish and Roma peoples, Yazidi communities, Women', 'Country: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
7,Culture,Cultural Heritage Preservation And Management,"Show me infographics illustrating community-level strategies for European civilians to support and integrate the displaced cultural heritage of refugee communities, preventing dispossession.",Conflict,"Destruction, Displacement, Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma Peoples', 'Yazidi Communities', 'Women']","['Romania', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', 'Occupation: Civilians', 'Demographics: Jewish and Roma peoples, Yazidi communities, Women', 'Country: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
8,Culture,Cultural Heritage Preservation And Management,Illustrate advice for local heritage groups in Europe on how to document and legally protect cultural landscapes facing gradual destruction and loss due to displacement pressures.,Conflict,"Destruction, Displacement, Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma Peoples', 'Yazidi Communities', 'Women']","['Poland', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', 'Occupation: Civilians', 'Demographics: Jewish and Roma peoples, Yazidi communities, Women', 'Country: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
9,Culture,Cultural Heritage Preservation And Management,What visual advice is available for civilians in Iraq on setting up temporary cultural centers to preserve traditional crafts and oral histories after widespread destruction and displacement?,Conflict,"Destruction, Displacement, Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma Peoples', 'Yazidi Communities', 'Women']","['Poland', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', 'Occupation: Civilians', 'Demographics: Jewish and Roma peoples, Yazidi communities, Women', 'Country: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],curious
10,Culture,Cultural Heritage Preservation And Management,Show me images of advice on how to engage youth in Syria in cultural heritage preservation efforts to counter the effects of dispossession and cultural destruction in their communities.,Conflict,"Destruction, Displacement, Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma Peoples', 'Yazidi Communities', 'Women']","['Poland', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', 'Occupation: Civilians', 'Demographics: Jewish and Roma peoples, Yazidi communities, Women', 'Country: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
11,Culture,Cultural Heritage Preservation And Management,Graphic illustrating practical advice for civilians in post-conflict Syria and Iraq on identifying and returning cultural property that has been illicitly displaced or dispossessed.,Conflict,"Destruction, Displacement, Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma Peoples', 'Yazidi Communities', 'Women']","['Croatia', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', 'Occupation: Civilians', 'Demographics: Jewish and Roma peoples, Yazidi communities, Women', 'Country: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
12,Culture,Cultural Heritage Preservation And Management,A visual representation of advice for Jewish Roma peoples in Europe on establishing and maintaining cultural heritage networks to resist displacement and dispossession.,Conflict,"Destruction, Displacement, Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma Peoples', 'Yazidi Communities', 'Women']","['Moldova', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', 'Occupation: Civilians', 'Demographics: Jewish and Roma peoples, Yazidi communities, Women', 'Country: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
13,Culture,Cultural Heritage Preservation And Management,Illustrate advice for Yazidi communities in Iraq on re-establishing traditional educational systems to preserve language and cultural identity after mass displacement and destruction of infrastructure.,Conflict,"Destruction, Displacement, Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma Peoples', 'Yazidi Communities', 'Women']","['Romania', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', 'Occupation: Civilians', 'Demographics: Jewish and Roma peoples, Yazidi communities, Women', 'Country: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
14,Culture,Cultural Heritage Preservation And Management,"Show me advice in a graphic format for Women's associations in conflict-affected regions like Syria, focusing on their role in protecting intangible cultural heritage from destruction and dispossession.",Conflict,"Destruction, Displacement, Dispossession",Heritage Professionals,['Civilians'],"['Jewish Roma Peoples', 'Yazidi Communities', 'Women']","['Netherlands', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', 'Occupation: Civilians', 'Demographics: Jewish and Roma peoples, Yazidi communities, Women', 'Country: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
15,Culture,Cultural Heritage Preservation And Management,"A Yazidi woman, her face etched with sorrow but determination, stands before the bombed ruins of a sacred temple in Sinjar, Iraq, clutching a child's drawing depicting its former glory, seeking guidance on how to preserve their decimated cultural identity.",Conflict,"Destruction, Displacement, Dispossession",Community Members,['Civilians'],"['Jewish Roma Peoples', 'Yazidi Communities', 'Women']","['Croatia', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', 'Occupation: Civilians', 'Demographics: Jewish and Roma peoples, Yazidi communities, Women', 'Country: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],emotional
16,Culture,Cultural Heritage Preservation And Management,"An elderly Jewish Roma man in a modest European home carefully unfolds a faded tapestry, a family heirloom depicting generations of his community's history, his eyes reflecting a quiet worry about its future and where to seek advice on safeguarding their heritage from further dispossession.",Conflict,"Destruction, Displacement, Dispossession",Community Members,['Civilians'],"['Jewish Roma Peoples', 'Yazidi Communities', 'Women']","['Moldova', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', 'Occupation: Civilians', 'Demographics: Jewish and Roma peoples, Yazidi communities, Women', 'Country: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],emotional
17,Culture,Cultural Heritage Preservation And Management,"A Syrian mother in a refugee camp in Europe, surrounded by her children, teaches them traditional embroidery using scraps of fabric, her gaze distant as if seeking advice on how to pass on their displaced cultural heritage when so much has been destroyed.",Conflict,"Destruction, Displacement, Dispossession",Community Members,['Civilians'],"['Jewish Roma Peoples', 'Yazidi Communities', 'Women']","['Netherlands', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', 'Occupation: Civilians', 'Demographics: Jewish and Roma peoples, Yazidi communities, Women', 'Country: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],emotional
18,Culture,Cultural Heritage Preservation And Management,"A young European civilian stands amidst the rubble of an ancient historical site, smartphone in hand, documenting the destruction of sculptures and architecture, visibly pondering where to find experts for urgent preservation advice.",Conflict,"Destruction, Displacement, Dispossession",Community Members,['Civilians'],"['Jewish Roma Peoples', 'Yazidi Communities', 'Women']","['Luxembourg', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', 'Occupation: Civilians', 'Demographics: Jewish and Roma peoples, Yazidi communities, Women', 'Country: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],formal
19,Culture,Cultural Heritage Preservation And Management,"A group of Iraqi civilians, former residents of a war-torn city, gather around an archaeologist displaying fragments of cuneiform tablets recovered from a looted site, their expressions a mix of grief and hope, silently seeking counsel on reclaiming and protecting their ancient cultural treasures.",Conflict,"Destruction, Displacement, Dispossession",Community Members,['Civilians'],"['Jewish Roma Peoples', 'Yazidi Communities', 'Women']","['Romania', 'Syria', 'Iraq']",advice seeking,text-to-video,"['Title: Cultural Heritage on the Frontline: the destruction of peoples and identities in war', 'Occupation: Civilians', 'Demographics: Jewish and Roma peoples, Yazidi communities, Women', 'Country: Europe, Iraq, Syria']",['https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMQUxUEuSxftjr86bPukx3RnUSMliM6Fb_fgmoxBrgm2SrvIhPKforVb7TPS7iplEi3_2-W_RvM307MoNjAjMlqCZHrUuFmGwBzi8OXGY-pNzIDNS_R3fYrfh8UjhpGTE64Sopd9QZMAP5ToQV00q28wdWML50VH9u7dnE0u1yicdOITEDI2d6BeK3JApXTxTbvuzmAOUfz9bLcpouL805N-I='],emotional
